selection_id,tumor_pixels,background_pixels,overlap_pixels,control_method
1,405,405,0,translated_exact_shape
2,624,624,0,translated_exact_shape
3,849,849,0,translated_exact_shape
4,3039,3039,0,translated_exact_shape
5,1309,1309,0,translated_exact_shape
6,472,472,0,translated_exact_shape
7,3761,3761,0,translated_exact_shape
8,609,609,0,translated_exact_shape
9,2063,2063,0,translated_exact_shape
10,1271,1271,0,translated_exact_shape
11,654,654,0,translated_exact_shape
12,522,522,0,translated_exact_shape
13,1125,1125,0,translated_exact_shape
14,93,93,0,translated_exact_shape
15,1668,1668,0,translated_exact_shape
16,2553,2553,0,translated_exact_shape
17,488,488,0,translated_exact_shape
18,1780,1780,0,translated_exact_shape
19,2775,2775,0,translated_exact_shape
20,530,530,0,translated_exact_shape
21,775,775,0,translated_exact_shape
22,657,657,0,translated_exact_shape
23,2015,2015,0,translated_exact_shape
24,950,950,0,translated_exact_shape
25,237,237,0,translated_exact_shape
26,800,800,0,translated_exact_shape
27,429,429,0,translated_exact_shape
28,601,601,0,translated_exact_shape
29,581,581,0,translated_exact_shape
30,785,785,0,translated_exact_shape
31,1085,1085,0,translated_exact_shape
32,1998,1998,0,translated_exact_shape
33,1055,1055,0,translated_exact_shape
34,872,872,0,translated_exact_shape
35,359,359,0,translated_exact_shape
36,211,211,0,translated_exact_shape
37,2764,2764,0,translated_exact_shape
38,1040,1040,0,translated_exact_shape
39,1154,1154,0,translated_exact_shape
40,919,919,0,translated_exact_shape
41,514,514,0,translated_exact_shape
42,3271,3271,0,translated_exact_shape
43,2996,2996,0,translated_exact_shape
44,892,892,0,translated_exact_shape
45,1742,1742,0,translated_exact_shape
46,912,912,0,translated_exact_shape
47,396,396,0,translated_exact_shape
48,503,503,0,translated_exact_shape
49,410,410,0,translated_exact_shape
50,441,441,0,translated_exact_shape
51,1394,1394,0,translated_exact_shape
52,780,780,0,translated_exact_shape
53,1042,1042,0,translated_exact_shape
54,1227,1227,0,translated_exact_shape
55,724,724,0,translated_exact_shape
56,1520,1520,0,translated_exact_shape
57,4657,4657,0,translated_exact_shape
58,670,670,0,translated_exact_shape
59,2208,2208,0,translated_exact_shape
60,2222,2222,0,translated_exact_shape
61,1013,1013,0,translated_exact_shape
62,2280,2280,0,translated_exact_shape
63,1385,1385,0,translated_exact_shape
64,87,87,0,translated_exact_shape
65,1148,1148,0,translated_exact_shape
66,104,104,0,translated_exact_shape
67,908,908,0,translated_exact_shape
68,777,777,0,translated_exact_shape
69,1608,1608,0,translated_exact_shape
70,707,707,0,translated_exact_shape
71,501,501,0,translated_exact_shape
72,570,570,0,translated_exact_shape
73,988,988,0,translated_exact_shape
74,344,344,0,translated_exact_shape
75,3124,3124,0,translated_exact_shape
76,480,480,0,translated_exact_shape
77,1684,1684,0,translated_exact_shape
78,931,931,0,translated_exact_shape
79,798,798,0,translated_exact_shape
80,874,874,0,translated_exact_shape
81,281,281,0,translated_exact_shape
82,611,611,0,translated_exact_shape
83,554,554,0,translated_exact_shape
84,2403,2403,0,translated_exact_shape
85,5027,5027,0,translated_exact_shape
86,2347,2347,0,translated_exact_shape
87,273,273,0,translated_exact_shape
88,2984,2984,0,translated_exact_shape
89,598,598,0,translated_exact_shape
90,3315,3315,0,translated_exact_shape
91,372,372,0,translated_exact_shape
92,603,603,0,translated_exact_shape
93,3138,3138,0,translated_exact_shape
94,871,871,0,translated_exact_shape
95,368,368,0,translated_exact_shape
96,1023,1023,0,translated_exact_shape
97,388,388,0,translated_exact_shape
98,5783,5783,0,translated_exact_shape
99,358,358,0,translated_exact_shape
100,912,912,0,translated_exact_shape
101,976,976,0,translated_exact_shape
102,1098,1098,0,translated_exact_shape
103,348,348,0,translated_exact_shape
104,526,526,0,translated_exact_shape
105,725,725,0,translated_exact_shape
106,113,113,0,translated_exact_shape
107,223,223,0,translated_exact_shape
108,377,377,0,translated_exact_shape
109,800,800,0,translated_exact_shape
110,3993,3993,0,translated_exact_shape
111,1460,1460,0,translated_exact_shape
112,1046,1046,0,translated_exact_shape
113,178,178,0,translated_exact_shape
114,1042,1042,0,translated_exact_shape
115,759,759,0,translated_exact_shape
116,430,430,0,translated_exact_shape
117,1859,1859,0,translated_exact_shape
118,407,407,0,translated_exact_shape
119,1481,1481,0,translated_exact_shape
120,10971,10971,0,translated_exact_shape
121,458,458,0,translated_exact_shape
122,568,568,0,translated_exact_shape
123,774,774,0,translated_exact_shape
124,1115,1115,0,translated_exact_shape
125,6989,6989,0,equal_area_farthest_background
126,1351,1351,0,translated_exact_shape
127,522,522,0,translated_exact_shape
128,386,386,0,translated_exact_shape
129,2674,2674,0,translated_exact_shape
130,5356,5356,0,translated_exact_shape
131,404,404,0,translated_exact_shape
132,1129,1129,0,translated_exact_shape
133,1379,1379,0,translated_exact_shape
134,180,180,0,translated_exact_shape
135,366,366,0,translated_exact_shape
136,1278,1278,0,translated_exact_shape
137,1265,1265,0,translated_exact_shape
138,1019,1019,0,translated_exact_shape
139,1973,1973,0,translated_exact_shape
140,478,478,0,translated_exact_shape
141,2614,2614,0,translated_exact_shape
142,594,594,0,translated_exact_shape
143,1805,1805,0,translated_exact_shape
144,252,252,0,translated_exact_shape
145,3018,3018,0,translated_exact_shape
146,2471,2471,0,translated_exact_shape
147,481,481,0,translated_exact_shape
148,457,457,0,translated_exact_shape
149,1718,1718,0,translated_exact_shape
150,419,419,0,translated_exact_shape
